serial number,keywords,civilions Right
1,,
2,Helmet,"Under Section 129 of the Motor Vehicles Act, 1988, it is compulsory for both the driver and the pillion rider of a two-wheeler to wear a helmet."
3,seatbelt,Section 138 of the Motor Vehicles Act and its amendments mandate that all front-seat passengers (both drivers and passengers) must wear a seatbelt while driving.
4,drink and drive,"Section 185 of the Motor Vehicles Act, 1988 specifically addresses driving under the influence of alcohol or drugs. It states that: A person shall not drive a motor vehicle if their blood alcohol concentration (BAC) exceeds prescribed limits.The permissible BAC limit for private vehicle drivers is 0.03% (30 mg of alcohol per 100 ml of blood).Commercial vehicle drivers are held to an even stricter standard of 0.00%, meaning they are prohibited from consuming any alcohol before driving."
5,redlight,"Section 119 of the Motor Vehicles Act, 1988 mandates that drivers must obey all traffic signals, including red lights. A red light means ""stop"", and drivers must halt their vehicles at the stop line. Breaking the red light or jumping a traffic signal is considered a serious traffic violation because it often leads to accidents, pedestrian injuries, and disruption of traffic flow."
6,modified vihicle,"Motor Vehicles Act, 1988: The law in India prohibits certain types of vehicle modifications that do not conform to road safety standards or that pose a danger to the environment. Under Section 52 of the Act, it is illegal to make modifications that alter the vehicle’s original design and specifications unless they are approved by the relevant authorities."
7,wrong side,"Wrong side driving refers to driving against the designated flow of traffic, which is illegal in India. Under the Motor Vehicles Act, 1988, and the traffic rules, drivers must adhere to the rules of the road, including driving on the correct side."
8,multiplr pillion (tripsy),Indian traffic law allows only one pillion rider (on motorcycles/scooters) unless the vehicle is designed to carry more than one. Carrying multiple pillion riders can be seen as unsafe and a violation of road safety rules.
9,no insureance,"Under the Motor Vehicles Act, 1988, every motor vehicle in India must be insured with at least third-party insurance. Driving a vehicle without insurance is illegal."
10,no license,"Driving without a valid license is a violation under Section 3 of the Motor Vehicles Act, 1988. A valid driver’s license is a requirement for legally operating a motor vehicle in India."
11,no puc,"Pollution Under Control (PUC) certification is required under the Air (Prevention and Control of Pollution) Act, 1981, and Motor Vehicles Rules to ensure that a vehicle meets the prescribed emission standards."
12,no numberplate,"According to the Motor Vehicles Act, 1988, all vehicles must be registered and display the appropriate number plates. Driving without a number plate is illegal."
13,tresspassing,Trespassing occurs when an individual enters or remains on someone else's property without permission. The law protects property rights under Indian Penal Code (IPC) Sections 441-447.
14,no parking,Parking vehicles in areas where it is prohibited is a violation of local traffic rules and municipal regulations.
15,public property damage,"Damage to public property, such as roads, signs, or public infrastructure, is governed under Indian Penal Code (IPC) Section 425 and other laws related to public property."
16,phone usage while driving ,"Using a mobile phone while driving is illegal under the Motor Vehicles (Amendment) Act, 2019. It is considered a distracted driving offense."
17,cat fishing,"Catfishing (the act of pretending to be someone else online) is a form of cybercrime and may involve fraud or deception. It can lead to violations under Indian Penal Code (IPC), including Section 419 (cheating by impersonation) and Section 66C of the Information Technology Act (identity theft)."
18,identity theft,"Identity theft is covered under Section 66C of the Information Technology Act, 2000 and Section 419 of the Indian Penal Code. It involves the fraudulent use of someone else’s personal information."
19,abusing,"Abuse, whether verbal or physical, falls under Indian Penal Code (IPC) Sections 294 (obscene acts), 506 (criminal intimidation), and 323 (causing hurt)."
20,defamation,Defamation is governed under Sections 499-502 of the Indian Penal Code (IPC). It refers to the false statement made to damage someone’s reputation.